FAA	lat	long	contr	rel	cat
ORD	41	-087	13930	0.125	1
IAD	38	-077	12264	0.000	1
DEN	39	-104	11292	0.153	1
MIA	25	-080	13303	0.153	1
SEA	47	-122	14747	0.125	1
MSP	44	-093	13487	0.214	2
ATL	33	-084	10397	0.176	2
DFW	32	-097	14465	0.222	2
PHL	39	-075	14100	0.307	3
JFK	40	-073	10388	0.250	3
PDX	45	-112	14057	0.250	3
SFO	37	-112	14771	0.235	3
LAX	33	-118	12892	0.272	3
PHX	33	-112	14107	0.333	4
LAS	36	-115	12889	0.333	4
DTW	42	-083	11433	0.555	5
LGA	40	-073	12953	0.666	5
BOS	42	-071	10721	0.461	5
SLC	40	-111	14869	0.571	5